		MENU 			FOOD COST ( AS PER HYPER PURE INVENTORY )					INGREDIENT AS PER RECEIPE AND WEIGHT							
Pesto Pasta (o) (Prawns)					71.78	17	28	1.45	1.2	0.12	0.76	0.75	0.5	2	20		
Plain Omelette (o)					26.33	12	12	0.12	0.76	1.45							
Power House Smoothie ( WITHOUT WHEY)					20.03	6	3	7.93	2.1	7							
Quinoa Khichdi (o)					22.07	14	1	1	0.12	0.5	1.45	3	1				
Quinoa Upma (o)					24.07	14	1	1	0.12	0.5	1.45	5	1				
Ragi Dates Eggless Brownie (o)					PRICE NOT UPDATED												
Roast Chicken Russian (o)					43.88	31.5	6	3	2.5	0.12	0.76						
Signature Quinoa Salad (o)					27.88	10	3	3	2	5	2	0.12	0.76	2			
Smoked Chicken Cheese Omelette (o)					55.33	6	6	6	17	12	0.12	0.76	1.45	6			
Smokey Chicken Salad					42.88	25	4	3	5	1	2	2	0.12	0.76			
Spinach Mushroom Omelette (o)					32												
Tomato Basil Omelette (o)					25.33	6	6	2	3	0.12	0.76	1.45	6				
Two Boiled Egg (o)					17												
Veg Caesar Story Salad					41.2		2.1	2.1	10	3	4	10	5	5			
Veg Loaded Bread Omelette (2 Egg) (o)					25.33	12	5	6									
Zero Calorie Mint Mojito					23.75	0.95	3	13.8	6								
